doc_id,corpus,doc_ref,decision_date,chars,body_hash,canonical,passages
amcu:103,amcu,1022-р,2025-12-24,3884,ba347eec92d5020ce987603ce530101b,True,4
amcu:1030,amcu,11-рк,2021-04-01,52445,53d44bb26b14d9b461580a3747155f85,True,52
amcu:1031,amcu,12-рк,2021-04-08,22605,67d25ccbec007b1e53cb9138e8791e28,True,23
amcu:10315,amcu,720-р,2018-12-13,99275,675b715b6781fdbfd2c241ac32b9d165,True,91
amcu:10316,amcu,721-р,2018-12-13,64713,3a6c47097e946a0ce488a16c5e1072f9,True,62
amcu:10317,amcu,722-р,2018-12-13,19734,019f128ee5729ce332f345d85435e50a,True,20
amcu:10318,amcu,723-р,2018-12-13,20020,9e3de2c42cb951f87b3b81dab4842ab4,True,20
amcu:10319,amcu,724-р,2018-12-13,16496,d916b78738a5fbd878a7f04dc0eae54e,True,16
amcu:1032,amcu,13-рк,2021-04-13,24871,59600dba1d72de2e6795f3a2aa6dbb6c,True,24
amcu:10320,amcu,725-р,2018-12-13,39579,7eb4e899bf7841fa077f74f70f6257f8,True,39
amcu:10323,amcu,686-р,2018-12-04,19957,a834ef402f1082dea2269663b317cb3b,True,20
amcu:10324,amcu,682-р,2018-12-04,42293,eb081a6902355ef2d8f38cbeecd9608a,True,41
amcu:10325,amcu,683-р,2018-12-04,21509,7817e502bb86bad04b2db612eabe08b3,True,21
amcu:10326,amcu,684-р,2018-12-04,19802,a358a494d986e611a8dd525d7ca5e760,True,20
amcu:10327,amcu,685-р,2018-12-04,16820,b941cefd5f6c0cbf2631e2727d681985,True,17
amcu:1033,amcu,14-рк,2021-04-22,18681,b089df7571d9ebe35370535adf619a3f,True,19
amcu:1034,amcu,15-рк,2021-04-29,27238,5b161b29dae83eac36cc43d202146068,True,27
amcu:1035,amcu,15,,2249,9b467b2531fe332ad3c5c558f43821d8,True,2
amcu:1036,amcu,124-р,2022-07-07,5459,23854ca1f651ffece8081330c22704e6,True,5
amcu:1037,amcu,125-р,2022-07-07,3922,2b316cc824caf62289fcf85f70123dcb,True,4
amcu:1038,amcu,126-р,2022-07-07,4060,3d589d3d16332838e9ff9f238ca7ca16,True,4
amcu:1039,amcu,127-р,2022-07-07,4682,ce221545f82e2ad8f6ab4313accc7e10,True,5
amcu:104,amcu,1023-р,2025-12-24,3863,38b45bcf1d6d500b948cb9786a08cb42,True,4
amcu:1040,amcu,128-р,2022-07-07,3465,81127aba1824ae9c5243fa40272a2a9c,True,4
amcu:1041,amcu,129-р,2022-07-07,2379,0f0e7833dc5714d47df29e762097e3ae,True,2
amcu:1042,amcu,130-р,2022-07-07,5025,0c787f22b0b2849f2c32a38360f58a64,True,5
amcu:1043,amcu,131-р,2022-07-07,2814,8cfff66b29f51679f970b992e7c940e7,True,3
amcu:1044,amcu,132-р,2022-07-07,58394,b067be3e8f77842016dfdd9705e119ef,True,58
amcu:1045,amcu,133-р,2022-07-07,71539,3441f1921ef8fbd6234442d5f8568f38,True,71
amcu:1046,amcu,134-р,2022-07-14,3197,4da69704ce1c6ac6db1fc74409add73b,True,3
amcu:1047,amcu,135-р,2022-07-14,3212,5b04bf62a95caff47a84bdac1e997868,True,3
amcu:1048,amcu,136-р,2022-07-14,2966,7283dec29aa027e617436671ab27514e,True,3
amcu:1049,amcu,137-р,2022-07-14,6606,8aaab243a813db2367b5852e58fe465d,True,7
amcu:105,amcu,1024-р,2025-12-24,3656,6cd9308fe819781f70e38c0cf1200846,True,3
amcu:1050,amcu,138-р,2022-07-14,4592,48ee628017781565cb5f5bd7360d5d9b,True,5
amcu:1051,amcu,139-р,2022-07-14,2510,796dfb777f9c1fe06ec73e74ee6979cc,True,2
amcu:1052,amcu,140-р,2022-07-14,3142,c87d2ad6aa41efdb1c5a8d19ff16d688,True,3
amcu:1053,amcu,141-р,2022-07-14,2267,4c614e3a523ffa4b04b9846e184f96c3,True,2
amcu:1054,amcu,142-р,2022-07-14,70943,c5bd0fde0ec07dea5c385a5e9f61db3e,True,71
amcu:1055,amcu,143-р,2022-07-14,29796,73d9c4dc8a3124fc840544ca3f1e44fd,True,30
amcu:1056,amcu,144-р,2022-07-19,3756,d021a20da91b8658cb4bc12d5a187e0e,True,4
amcu:1057,amcu,145-р,2022-07-19,8195,ddca5aa7abc3e591b6034f6795095859,True,8
amcu:1058,amcu,146-р,2022-07-22,4243,1c981118b67675e9a36b93021c3e7b06,True,4
amcu:1059,amcu,147-р,2022-07-22,4232,ef1aa5061534adc5aa9db782b5f78067,True,4
amcu:106,amcu,1025-р,2025-12-24,4183,200e9181237589860a2cf49c63cd6f64,True,4
amcu:1060,amcu,148-р,2022-07-22,2601,85f33c0ac4f0c498848db47b72fca698,True,3
amcu:1061,amcu,149-р,2022-07-22,16541,71fcbda9ada612326e9a781172ff04dd,True,16
amcu:1062,amcu,150-р,2022-07-22,6067,f5fc7f3c15e131fac12dfa11a5be6069,True,6
amcu:1063,amcu,151-р,2022-07-28,4289,6126fa18b941189ec176c932d9e6fee8,True,4
amcu:1064,amcu,152-р,2022-07-28,3058,dcd427ce2d8a05164a12b6f71b51b081,True,3
amcu:1065,amcu,153-р,2022-07-28,3147,b38623c922d4765253dfbdc1220f9916,True,3
amcu:1066,amcu,154-р,2022-07-28,3079,71b4e5ed8bdd31884902a3d1e2b5120c,True,3
amcu:1067,amcu,155-р,2022-07-28,3144,e3ab16fb567d33af6aca4de2e36005d8,True,3
amcu:1068,amcu,156-р,2022-07-28,46582,3c169476e4d38c688491eee5d58da8f3,True,46
amcu:1069,amcu,157-р,2022-07-28,46597,f43898c8bb0d5bc1995a82e65de697d2,True,46
amcu:107,amcu,1026-р,2025-12-25,131972,f0e18fe10b54ea685aa868e90b8c310d,True,131
amcu:1070,amcu,158-р,2022-07-28,46600,876dab393c22282531b256c2225dd413,True,46
amcu:1071,amcu,159-р,2022-07-28,46586,f57bc01ac3241c313992bb22df6afb17,True,46
amcu:1072,amcu,160-р,2022-07-28,46596,cd6462562b4e7b952bc67d70effa6fd8,True,46
amcu:10723,amcu,635-р,2018-11-15,122945,cb15753d2d6d5de73c7a142eb7fb1a27,True,122
amcu:10724,amcu,637-р,2018-11-15,24379,78edd0461c13ff5785a9667f9781beb9,True,24
amcu:10725,amcu,639-р,2018-11-15,15322,a5c9148ee72aa50a513f01a0096cd137,True,15
amcu:10726,amcu,640-р,2018-11-15,25216,acfd93b6a9ddfea793cc59ee0ab7c100,True,25
amcu:10727,amcu,636-р,2018-11-15,23964,bd7e14e681fe8639e2adf512e1acd628,True,24
amcu:10728,amcu,638-р,2018-11-15,18154,54dde6da9cab4b584a92f2e0e9fc8884,True,18
amcu:1073,amcu,161-р,2022-07-28,46629,f5881b661739381ba505f493c30edbd0,True,46
amcu:1074,amcu,162-р,2022-07-28,27868,e6af235110d9d1bb38eb75a21bce5b23,True,28
amcu:1075,amcu,93-р,2022-04-15,8354,a683207ee83f3fa5d10e58050f303858,True,8
amcu:1076,amcu,94-р,2022-04-29,12660,55e5b99a5bd9575c9b7066e40b071363,True,12
amcu:1077,amcu,560-р,2019-08-29,2419,e99fcd433e99e30e70616e38446047c9,True,2
amcu:1078,amcu,561-р,2019-08-29,2277,663661bb9ab9bc8bce10448023ac23aa,True,2
amcu:1079,amcu,562-р,2019-08-29,2384,adfe87c60d99d2929d88f187eac93beb,True,2
amcu:108,amcu,1027-р,2025-12-25,131957,cd51b1f62f8dc7895b8d3194b2c4fe08,True,131
amcu:1080,amcu,563-р,2019-08-29,2389,3384ed3f39d9246508a8fda42c7399f1,True,2
amcu:1081,amcu,564-р,2019-08-29,2382,22067767f7ad874b160d56a35b51eb5e,True,2
amcu:1082,amcu,565-р,2019-08-29,2294,92fc404d3499f20b861ba23fb2c9bed4,True,2
amcu:1083,amcu,566-р,2019-08-29,2384,3f4006fef70dcb469a739097d55b6c53,True,2
amcu:1084,amcu,567-р,2019-08-29,2325,3005a4b11cd245aa638b388c2e335417,True,2
amcu:1085,amcu,568-р,2019-08-29,2153,38dea6043c10d30330114ddfeb55c309,True,2
amcu:1086,amcu,569-р,2019-08-29,2313,254023c8c06d3e78f6e50bd39053def4,True,2
amcu:10861,amcu,477-р,2018-09-20,2332,4148ca2fdb319083f4b4778719724170,True,2
amcu:10862,amcu,482-р,2018-09-20,2282,dd7c24dabf222883c0647d5417903126,True,2
amcu:10863,amcu,484-р,2018-09-20,2337,972de695dc1278f9a17463c16ce18c5e,True,2
amcu:10864,amcu,490-р,2018-09-20,3961,a558d1f54cceb05d1a0cb2b73aef1c54,True,4
amcu:10865,amcu,492-р,2018-09-20,4161,a61d098ac34a42937ccc707133501225,True,4
amcu:10866,amcu,494-р,2018-09-20,4178,6da21ba7c39e8d9593caad158057dc45,True,4
amcu:10867,amcu,475-р,2018-09-20,2334,dc682ac6d717f7c0809328eeec25d6d5,True,2
amcu:10868,amcu,476-р,2018-09-20,2323,f1b1d4e67da215e21bca0044402bacc1,True,2
amcu:10869,amcu,478-р,2018-09-20,2327,31a918d3f0545483dafdc47a305d0793,True,2
amcu:1087,amcu,570-р,2019-08-29,2448,37f0e89eb3c8337b5782b642c3ba47b2,True,2
amcu:10870,amcu,479-р,2018-09-20,2316,ffe0a12dd30c7042c7eb460b8ca79c7d,True,2
amcu:10871,amcu,480-р,2018-09-20,2338,c27d1116307180e2da40df5a608113dc,True,2
amcu:10872,amcu,485-р,2018-09-20,2337,cb19ce41e7bd3d0d02312e361c653950,True,2
amcu:10873,amcu,493-р,2018-09-20,4179,21313951e48ac425fb4eda51ae3ff0aa,True,4
amcu:10874,amcu,495-р,2018-09-20,3328,ada7596edff250b9df781f7aa29d4186,True,3
amcu:10875,amcu,483-р,2018-09-20,2337,497ce1b33189573779148aa442ae4dbd,True,2
amcu:10876,amcu,489-р,2018-09-20,3644,2f0d841d5cb389bf4a8dbd663b110356,True,4
amcu:10877,amcu,491-р,2018-09-20,3373,9a0674663710f2db7604f1a1a215a6d1,True,3
amcu:10878,amcu,507-р,2018-09-20,42327,82773494b5364ce545b6aa4a8a81bf86,True,42
amcu:10879,amcu,486-р,2018-09-20,2028,bacd6a625f5c5c1465bce3cc1de716f4,True,2
amcu:1088,amcu,571-р,2019-08-29,2519,bf6f6124a6494d2e673dddc9fd974e53,True,3
amcu:10880,amcu,487-р,2018-09-20,2523,66d72030e72325e5e44acf1fa03f219c,True,3
amcu:10881,amcu,488-р,2018-09-20,3644,03131c3abe991d72e57ad6f2f0e9e166,True,4
amcu:10882,amcu,496-р,2018-09-20,5195,ed578dddc3a43137d6e201ebb97836c7,True,5
amcu:10883,amcu,497-р,2018-09-20,5794,7f683766ea8af4fd05f716aea3159a5c,True,6
amcu:10884,amcu,498-р,2018-09-20,5771,04c717469a3547f44fee66c5c9b14617,True,6
amcu:10885,amcu,499-р,2018-09-20,33232,72b209b85d46ad8abb68d495d7248628,True,33
amcu:10886,amcu,500-р,2018-09-20,6247,97f48857ea13fea4a048d9021c6ca421,True,6
amcu:10887,amcu,501-р,2018-09-20,31694,8192840eefce8a19ced379f21262e883,True,31
amcu:10888,amcu,502-р,2018-09-20,38001,3c531a2ddecc21e4cf4dd155aabb4b04,True,38
amcu:10889,amcu,503-р,2018-09-20,30846,a91cc8ece930d9ca32d46cb3f6ce9dd2,True,31
amcu:1089,amcu,572-р,2019-08-29,2331,1c8fa68427320ee40fd73a0dae5059da,True,2
amcu:10890,amcu,504-р,2018-09-20,25996,f1086f4265542f95267fc0a894ccf715,True,26
amcu:10891,amcu,505-р,2018-09-20,17096,2f914a890d4da3d5d89b10e227ca9d0d,True,17
amcu:10892,amcu,506-р,2018-09-20,15640,720ac6a0003880f8676d8492f141a20b,True,16
amcu:10893,amcu,481-р,2018-09-20,2329,b885988d9807ac5668a4f6c2c216ba2a,True,2
amcu:109,amcu,1028-р,2025-12-25,131975,b8f66c8d5904b7acabf7d66d95f937c5,True,131
amcu:1090,amcu,573-р,2019-08-29,2123,94b39c34bede158c8c4e18bc017f30a2,True,2
amcu:1091,amcu,574-р,2019-08-29,57771,0ecedb0cb5bbe3e0035625ab35f2f614,True,56
amcu:1092,amcu,575-р,2019-08-29,44595,207101560e55f791fd92d4d1c635fe56,True,43
amcu:1093,amcu,576-р,2019-08-29,82462,8cc4878460eba77d20e36cb45b75e19a,True,75
amcu:10934,amcu,570-р,2018-10-19,33418,a3a8a45218ed7e8a16b9e5a91155555b,True,33
amcu:10935,amcu,565-р,2018-10-19,21407,373c93631dd6950eb2edd2fc5971c772,True,22
amcu:10936,amcu,572-р,2018-10-19,34111,89d6cc511abf50c42a18fd4265e38b2b,True,34
amcu:10937,amcu,566-р,2018-10-19,33057,9b83903d0aa6ab887e9b30b09c2b42aa,True,33
amcu:10938,amcu,567-р,2018-10-19,20998,748300ba32a9a0368ef231a172051362,True,21
amcu:10939,amcu,568-р,2018-10-19,26321,ffa46bbbe735c04814de328587053cf3,True,26
amcu:1094,amcu,577-р,2019-08-29,5050,993314c70e720a69f910666612a13ba7,True,5
amcu:10940,amcu,571-р,2018-10-19,19810,b54f9c96b95042a84bd6ae4773f32848,True,20
amcu:10941,amcu,573-р,2018-10-19,20549,0d5183817583829801047c40e0942478,True,20
amcu:10942,amcu,574-р,2018-10-19,44030,5e39f097b1ae65f9d1f738e02e0a702a,True,44
amcu:10943,amcu,575-р,2018-10-19,12874,401393d8cc9aad9b0710269524223409,True,13
amcu:10944,amcu,569-р,2018-10-19,32669,f8e19bd821bed04515e4dcc2cb8b40e6,True,32
amcu:1095,amcu,641-р,2021-12-02,4733,d058b7379e5344573ee6dfc787f0e4f0,True,5
amcu:1096,amcu,642-р,2021-12-02,5323,e4eab45cea4b5d2b7ce20e957113f475,True,5
amcu:1097,amcu,643-р,2021-12-02,4052,4e40931b4c68a960fcaa65b05532639f,True,4
amcu:1098,amcu,644-р,2021-12-02,3800,8fc55f19df6b86deab16f33b71beec9f,True,4
amcu:1099,amcu,645-р,2021-12-02,3807,6e73917bb61332ed24f7b8aee60ec903,True,4
amcu:11,amcu,930-р,2025-12-04,2079,6086277faf2586c5c95d5a8c415f29f7,True,2
amcu:110,amcu,1029-р,2025-12-25,131974,f705e0106b6af3561782b48ee4e47d32,True,131
amcu:1100,amcu,646-р,2021-12-02,4061,69bef53815d52d88f2d0ef44115c73b6,True,4
amcu:1101,amcu,647-р,2021-12-02,4164,4c2417feeea243f77a6a443b09abba31,True,4
amcu:1102,amcu,648-р,2021-12-02,3906,85d1743f9a0a204bafe9b8e220b49f38,True,4
amcu:1103,amcu,649-р,2021-12-02,38310,5e23cd25c091b347a47daf9f629b7829,True,37
amcu:11038,amcu,609-р,,23061,85ae6acf9bceaec5a95303ad82471893,True,23
amcu:11039,amcu,611-р,,30351,55f5d5e5cdfcc24ea215cc63f85e6d06,True,30
amcu:1104,amcu,650-р,2021-12-02,38645,193cf5428a229e7e27467ce34f31db08,True,38
amcu:11040,amcu,608-р,2018-11-05,19722,d10ee7bfbc028a43e3be170c907c00ee,True,19
amcu:11041,amcu,612,2018-11-05,16477,929c7df9ce16b1ec15120d19dd2234b4,True,16
amcu:11042,amcu,610-р,,27024,2eeb0b2f138c5a4d192b74294748d4bc,True,27
amcu:1105,amcu,651-р,2021-12-02,71067,43cac6209f7e6a112cd346ce6e8e2742,True,69
amcu:1106,amcu,652-р,2021-12-02,54379,2f0bfcab8497b5b19b5643e26bc4ef71,True,54
amcu:11061,amcu,650-р,2018-11-20,2550,7e55695de9390ed4a64e09f0278ee034,True,3
amcu:11062,amcu,656-р,2018-11-20,40468,65994d0376d04f05efd08acb7d5c9783,True,39
amcu:11063,amcu,642-р,2018-11-20,27942,3978e92febcef6a6e1de45946bd9de62,True,28
amcu:11064,amcu,,2018-11-20,4357,ff94653a0c0e9648f61689bd19f4e105,True,4
amcu:11065,amcu,641-р,2018-11-20,49402,8ddd84690152de5f1eae7c93936b211a,True,49
amcu:11066,amcu,643-р,2018-11-20,6667,8771ebfed0b429a0560941c1c19e6dbd,True,7
amcu:11067,amcu,644-р,2018-11-20,6750,3f74961fec5b1956d90bd604d7cc312a,True,7
amcu:11068,amcu,645-р,2018-11-20,6705,a98644354b4c02b15beb62d6e61be075,True,7
amcu:11069,amcu,646-р,2018-11-20,5548,6aa2eedf3926bd2449c973e798c0f38b,True,6
amcu:1107,amcu,653-р,2021-12-09,3296,5cc52932821774e30b5675118e5bd239,True,3
amcu:11070,amcu,647-р,2018-11-20,4587,c03c315044118795b4586ea68a5ea3cf,True,5
amcu:11071,amcu,648-р,2018-11-20,4686,b98dc677cc4b99820280bee8d62f4f2d,True,5
amcu:11072,amcu,649-р,2018-11-20,5089,318c040271784204db9f44c379d8527d,True,5
amcu:11073,amcu,655-р,2018-11-20,23957,7cdae1f9082863c23e8957899e72689e,True,24
amcu:11074,amcu,652-р,2018-11-20,42595,139fbae37fe38b00a346a7c404ff7907,True,42
amcu:11075,amcu,653-р,2018-11-20,26501,f6cb400de2f018a52005b86075112718,True,26
amcu:11076,amcu,654-р,2018-11-20,29686,81f42b7159edec4003bc7cce383bf256,True,29
amcu:1108,amcu,654-р,2021-12-09,3966,ca1594f5d9ae0c7a2055a98026b9d599,True,4
amcu:11080,amcu,445-р,2018-09-06,14990,2dc356d855950110805eb264f44b2601,True,15
amcu:11081,amcu,430-р,2018-09-06,4030,c98abc01b010d3b1aaadf3007a3265fa,True,4
amcu:11082,amcu,431-р,2018-09-06,4084,776d02e5f9ad90936ed2fe3558e371bf,True,4
amcu:11083,amcu,432-р,2018-09-06,2794,438f4285c39ddafbfa9312c44853a2d8,True,3
amcu:11084,amcu,443-р,2018-09-06,55839,54c740ed794a2938789964b87ba06557,True,55
amcu:11085,amcu,444-р,2018-09-06,56412,31764fae573e32baa1c68b57596a549f,True,55
amcu:11086,amcu,428-р,2018-09-06,5458,91ceacaa6969ee290942efeb3a137091,True,6
amcu:11087,amcu,429-р,2018-09-06,2401,0db8e2397d1c0a12929b53b82bf78a6a,True,2
amcu:11088,amcu,427-р,2018-09-06,15387,c4c815ec469cb5492c00ffb46e923737,True,15
amcu:11089,amcu,441-р,2018-09-06,4700,c4fd36d84b76ff3dcbd9cd7b8f308d60,True,5
amcu:1109,amcu,655-р,2021-12-09,3093,be3a95112607376a64e1961dbd3beda3,True,3
amcu:11090,amcu,433-р,2018-09-06,4573,9f145f9154e31400944d8216d3d3989d,True,5
amcu:11091,amcu,434-р,2018-09-06,4632,76133e4134e1e0438fb24e9a24f3e323,True,5
amcu:11092,amcu,435-р,2018-09-06,4636,0e1e0ad5660871d555dad8d0c3f7085f,True,5
amcu:11093,amcu,436-р,2018-09-06,4666,8a17c48d11e77017fcf6d27313fb9504,True,5
amcu:11094,amcu,437-р,2018-09-06,4609,933d311c47afbd5ad223444c6ee88a17,True,5
amcu:11095,amcu,438-р,2018-09-06,4614,a170adb7b443366474ea36c5a2aeaa20,True,5
amcu:11096,amcu,439-р,2018-09-06,4659,f59826dbe6112de2cae261bcc9642f6d,True,5
amcu:11097,amcu,440-р,2018-09-06,4775,98eefcac4aa1332de8c78dca2ca13496,True,5
amcu:11098,amcu,442-р,2018-09-06,4308,2cd07f26e38793791d23cefe8941db9e,True,4
amcu:11099,amcu,581-р,2018-10-25,3469,de7827180a2bbbd2052fe4e6a4b74a92,True,4
amcu:111,amcu,1030-р,2025-12-25,131839,107ba55d80f6a3aaa75c957c46139ac7,True,131
amcu:1110,amcu,656-р,2021-12-09,4935,7717d517c09869544f110878a1823424,True,5
amcu:11100,amcu,582-р,2018-10-25,3547,351849fbe5777cacdf163af480dc23ba,True,4
amcu:11101,amcu,576-р,2018-10-25,2599,91474d910721a2416b1cd0462091ef58,True,3
amcu:11102,amcu,590-р,2018-10-25,48897,d15d74528021f3c69c0e1a1439a4cfd1,True,45
amcu:11103,amcu,591-р,2018-10-25,48882,c7e252dd442aa489fd8c12ebd21f095c,True,45
amcu:11104,amcu,577-р,2018-10-25,2819,673a181f9a21d18f29ce61847e333d0a,True,3
amcu:11105,amcu,592-р,2018-10-25,67950,19a0593e6cabe0ef8180728e9142a04c,True,68
amcu:11106,amcu,593-р,2018-10-25,16199,e9c1d2bd044cd6c3fefc3084e646ccbc,True,16
amcu:11107,amcu,594-р,2018-10-25,15893,72d3c96d9f388d728251f8a03a79588e,True,16
amcu:11108,amcu,579-р,2018-10-25,3921,6eb65279fb51fa084f0861b45d466415,True,4
amcu:11109,amcu,580-р,2018-10-25,3932,4fe5e127b6e18403b83f293dfe5c9253,True,4
amcu:1111,amcu,657-р,2021-12-09,4957,18c20ed457046bc7d5d0a3c536b299af,True,5
amcu:11110,amcu,583-р,2018-10-25,3555,f0a674d3ae88ab1e5f74ae5da2ef4ae4,True,4
amcu:11111,amcu,584-р,2018-10-25,3560,e2eb884fc26439e28dcc6c8126fd090a,True,4
amcu:11112,amcu,585-р,2018-10-25,3519,d89916b690483f0a69b7db9715e98936,True,4
amcu:11113,amcu,586-р,2018-10-25,3543,66fd923509c21f62afefbbb2377311df,True,4
amcu:11114,amcu,587-р,2018-10-25,3536,0276d4650537150765fa73a8d8468dc3,True,4
amcu:11115,amcu,588-р,2018-10-25,3544,4a60232d76c65e21e1459a2753c4053a,True,4
amcu:11116,amcu,589-р,2018-10-25,3560,b1a65a5b7db08971260dc0a89bef4953,True,4
amcu:11117,amcu,578-р,2018-10-25,3107,fc3f777a2b016ad05486ae202addeb95,True,3
amcu:1112,amcu,658-р,2021-12-09,2362,984cd0919b61766d844d12e6c5447ea1,True,2
amcu:1113,amcu,659-р,2021-12-09,20489,fcab09ad01f681e4ee28b52168d83a07,True,21
amcu:1114,amcu,660-р,2021-12-15,110097,c32c3bbbf76554c67314e07062b2b943,True,109
amcu:1115,amcu,661-р,2021-12-15,319307,72ec803fe7ed604d63569817f8bf0d1c,True,293
amcu:1116,amcu,662-р,2021-12-15,166211,32f5297e5c0b50ad39fe0baf1beb99d3,True,164
amcu:1117,amcu,663-р,2021-12-15,40457,676a5cc3a5d5e3afaad8a56364d862ac,True,40
amcu:1118,amcu,664-р,2021-12-15,39871,613e9386934a83af641ac3b8bde48fbd,True,39
amcu:1119,amcu,665-р,2021-12-15,12878,90c9eea636b203f49b5658e3fb867932,True,13
amcu:112,amcu,1031-р,2025-12-25,131973,133475fd403ec15dcee444d207bc0507,True,131
amcu:1120,amcu,666-р,2021-12-15,5317,56ef8676d9fe07e7b407887bb0ec8e20,True,5
amcu:1121,amcu,667-р,2021-12-15,4534,7e4d97df192df3109a355da3b5c948a9,True,5
amcu:1122,amcu,668-р,2021-12-15,3100,3221d417ca1d3222cb64d123d8b2b47e,True,3
amcu:1123,amcu,669-р,2021-12-15,2962,97cfc1708c008bf5b7a5b538171fa9cb,True,3
amcu:1124,amcu,670-р,2021-12-15,3045,2166478ca8cfe9a8d8de1b4107195385,True,3
amcu:1125,amcu,671-р,2021-12-15,2961,a3bb871a823492fca0939893d6fced69,True,3
amcu:1126,amcu,672-р,2021-12-15,2951,d5f43e7fdb5739abe7fda4c3229eb75e,True,3
amcu:1127,amcu,673-р,2021-12-15,3064,b3f316fb0b7b96aef30f8e5bdb5fe46e,True,3
amcu:1128,amcu,674-р,2021-12-15,3279,56a2ebd3a3fa43bc14e2cbede45bfbc0,True,3
amcu:1129,amcu,675-р,2021-12-15,3009,8850fe00c9abd3e9208c606c147e6341,True,3
amcu:113,amcu,1032-р,2025-12-25,131975,8f5683af6593ed883c743914ff52fe29,True,131
amcu:1130,amcu,676-р,2021-12-15,3154,b551f4da753bb0cd025985b35ea7d44d,True,3
amcu:1131,amcu,677-р,2021-12-15,2944,09b516e8b4f9a4575d65629a87982be6,True,3
amcu:1132,amcu,678-р,2021-12-15,2943,1895a75a0172e8980864be3084c17d3a,True,3
amcu:1133,amcu,679-р,2021-12-15,3104,aa3b6b46dd2e14b48ff9a05746f118d6,True,3
amcu:1134,amcu,680-р,2021-12-15,3347,869ae6bcbc1ea12cd1dfcd298ad23306,True,3
amcu:1135,amcu,681-р,2021-12-15,3087,19a60897720ddff61a9a0acbe3485925,True,3
amcu:1136,amcu,682-р,2021-12-15,2911,236294bde5ad87ace20a3b9a5d200a8d,True,3
